,Name,Type,str_50_type,mid_50_type,mid_10_type,mid_25_type,mid_75_type,mid_90_type,Region,str_50_region,mid_50_region,mid_10_region,mid_25_region,mid_75_region,mid_90_region,Major,str_50_major,mid_50_major,percentage_str_to_mid_major,mid_10_major,mid_25,mid_75_major,mid_90_major
130,"University of California, Riverside (UCR)",State,46800.0,81300.0,37200.0,59900.0,109000.0,134000.0,California,46800.0,81300.0,37200.0,59900.0,109000.0,134000.0,,,,,,,,
131,State University of New York (SUNY) at Geneseo,State,42300.0,81300.0,39300.0,47600.0,117000.0,173000.0,Northeastern,42300.0,81300.0,39300.0,47600.0,117000.0,173000.0,,,,,,,,
132,University of Missouri - Columbia,State,41700.0,81000.0,43500.0,57100.0,111000.0,156000.0,Midwestern,41700.0,81000.0,43500.0,57100.0,111000.0,156000.0,,,,,,,,
133,University of Nebraska,State,45700.0,80900.0,42200.0,56600.0,113000.0,156000.0,Midwestern,45700.0,80900.0,42200.0,56600.0,113000.0,156000.0,,,,,,,,
134,University of Texas at Arlington (UTA),State,45400.0,80800.0,46400.0,61200.0,106000.0,138000.0,Southern,45400.0,80800.0,46400.0,61200.0,106000.0,138000.0,,,,,,,,
135,Northern Illinois University (NIU),State,43600.0,80800.0,43900.0,60200.0,111000.0,161000.0,Midwestern,43600.0,80800.0,43900.0,60200.0,111000.0,161000.0,,,,,,,,
136,Oklahoma State University,State,42800.0,80700.0,40100.0,56500.0,114000.0,151000.0,Southern,42800.0,80700.0,40100.0,56500.0,114000.0,151000.0,,,,,,,,
137,University of North Dakota,State,44000.0,80600.0,43400.0,56400.0,111000.0,157000.0,Midwestern,44000.0,80600.0,43400.0,56400.0,111000.0,157000.0,,,,,,,,
138,"California State University, Northridge (CSUN)",State,45500.0,80400.0,44500.0,57800.0,108000.0,153000.0,California,45500.0,80400.0,44500.0,57800.0,108000.0,153000.0,,,,,,,,
139,University of Houston (UH),State,46000.0,79900.0,42000.0,56200.0,106000.0,141000.0,Southern,46000.0,79900.0,42000.0,56200.0,106000.0,141000.0,,,,,,,,
140,New Mexico State University,State,44300.0,79500.0,37400.0,53800.0,102000.0,131000.0,Western,44300.0,79500.0,37400.0,53800.0,102000.0,131000.0,,,,,,,,
141,Lamar University,State,46500.0,79400.0,38700.0,51600.0,114000.0,158000.0,Southern,46500.0,79400.0,38700.0,51600.0,114000.0,158000.0,,,,,,,,
142,Mississippi State University (MSU),State,44500.0,79300.0,43300.0,58800.0,108000.0,151000.0,Southern,44500.0,79300.0,43300.0,58800.0,108000.0,151000.0,,,,,,,,
143,Colorado State University (CSU),State,44800.0,79000.0,43800.0,57100.0,112000.0,150000.0,Western,44800.0,79000.0,43800.0,57100.0,112000.0,150000.0,,,,,,,,
144,Kansas State University (KSU),State,43300.0,79000.0,37200.0,54100.0,106000.0,138000.0,Midwestern,43300.0,79000.0,37200.0,54100.0,106000.0,138000.0,,,,,,,,
145,University of Wyoming (UW),State,44500.0,78700.0,41500.0,54000.0,105000.0,145000.0,Western,44500.0,78700.0,41500.0,54000.0,105000.0,145000.0,,,,,,,,
146,Utah State University,State,43800.0,78700.0,41600.0,55400.0,101000.0,132000.0,Western,43800.0,78700.0,41600.0,55400.0,101000.0,132000.0,,,,,,,,
147,University of Wisconsin (UW) - Platteville,State,45800.0,78500.0,48400.0,61200.0,100000.0,139000.0,Midwestern,45800.0,78500.0,48400.0,61200.0,100000.0,139000.0,,,,,,,,
148,University of Oregon,State,42200.0,78400.0,38100.0,56200.0,117000.0,186000.0,Western,42200.0,78400.0,38100.0,56200.0,117000.0,186000.0,,,,,,,,
149,University of Kentucky (UK),State,42800.0,78300.0,43000.0,57300.0,107000.0,149000.0,Southern,42800.0,78300.0,43000.0,57300.0,107000.0,149000.0,,,,,,,,
150,University of Massachusetts (UMass) - Boston,State,45600.0,78200.0,36300.0,53800.0,109000.0,151000.0,Northeastern,45600.0,78200.0,36300.0,53800.0,109000.0,151000.0,,,,,,,,
151,University of Maryland Baltimore County (UMBC),State,47000.0,77800.0,46900.0,59100.0,105000.0,130000.0,Southern,47000.0,77800.0,46900.0,59100.0,105000.0,130000.0,,,,,,,,
152,North Dakota State University (NDSU),State,45100.0,77800.0,39000.0,55800.0,100000.0,123000.0,Midwestern,45100.0,77800.0,39000.0,55800.0,100000.0,123000.0,,,,,,,,
153,State University of New York (SUNY) at Oswego,State,38000.0,77800.0,40400.0,53000.0,115000.0,169000.0,Northeastern,38000.0,77800.0,40400.0,53000.0,115000.0,169000.0,,,,,,,,
154,University of Massachusetts (UMass) - Dartmouth,State,43200.0,77700.0,43300.0,56200.0,107000.0,132000.0,Northeastern,43200.0,77700.0,43300.0,56200.0,107000.0,132000.0,,,,,,,,
155,Montana State University - Bozeman,State,46600.0,77500.0,40200.0,58100.0,111000.0,151000.0,Western,46600.0,77500.0,40200.0,58100.0,111000.0,151000.0,,,,,,,,
156,State University of New York (SUNY) at Oneonta,State,37500.0,76700.0,40000.0,54300.0,97700.0,155000.0,Northeastern,37500.0,76700.0,40000.0,54300.0,97700.0,155000.0,,,,,,,,
157,University of Louisiana (UL) at Lafayette,State,41100.0,76300.0,42000.0,54500.0,107000.0,163000.0,Southern,41100.0,76300.0,42000.0,54500.0,107000.0,163000.0,,,,,,,,
158,State University of New York (SUNY) at Plattsburgh,State,40800.0,76200.0,38400.0,54100.0,105000.0,136000.0,Northeastern,40800.0,76200.0,38400.0,54100.0,105000.0,136000.0,,,,,,,,
159,Wayne State University,State,42800.0,76100.0,40100.0,56200.0,101000.0,139000.0,Midwestern,42800.0,76100.0,40100.0,56200.0,101000.0,139000.0,,,,,,,,
160,University of Hawaii,State,43800.0,76000.0,40400.0,56300.0,104000.0,128000.0,Western,43800.0,76000.0,40400.0,56300.0,104000.0,128000.0,,,,,,,,
161,University of Toledo,State,43100.0,75900.0,40100.0,54100.0,100000.0,133000.0,Midwestern,43100.0,75900.0,40100.0,54100.0,100000.0,133000.0,,,,,,,,
162,Florida International University (FIU),State,43200.0,75500.0,40500.0,55800.0,98200.0,136000.0,Southern,43200.0,75500.0,40500.0,55800.0,98200.0,136000.0,,,,,,,,
163,University of Wisconsin (UW) - Whitewater,State,40800.0,75500.0,38200.0,53500.0,99300.0,150000.0,Midwestern,40800.0,75500.0,38200.0,53500.0,99300.0,150000.0,,,,,,,,
164,Western Washington University,State,42700.0,75400.0,41300.0,56700.0,99200.0,119000.0,Western,42700.0,75400.0,41300.0,56700.0,99200.0,119000.0,,,,,,,,
165,Minnesota State University - Mankato,State,43300.0,74700.0,39500.0,53800.0,95700.0,140000.0,Midwestern,43300.0,74700.0,39500.0,53800.0,95700.0,140000.0,,,,,,,,
